"name","region","transit","density","houseval","railtype"
"Archstone Barrington Hills Apartments","Bay Area",0.400000005960464,3.35999989509583,192593.26,"Heavy or commuter rail"
"Archstone Mission Va","SD",0.107699997723103,2.1800000667572,203054.65,"Light rail"
"Atherton Place","Bay Area",0.5,5.21000003814697,217671.52,"Heavy or commuter rail"
"Bellamar Apartments","LA",0.317799985408783,10.0500001907349,117255.94,"Light rail"
"Coggins Square","Bay Area",0.527800023555756,4.67999982833862,270554.72,"Heavy or commuter rail"
"Del Norte Place","Bay Area",0.642899990081787,4.90999984741211,229335.59,"Heavy or commuter rail"
"Iron Horse Lofts","Bay Area",0.606100022792816,4.67999982833862,270207.4,"Heavy or commuter rail"
"Mercado Apartments","SD",0,3.21000003814697,121785.96,"Light rail"
"Mission Wells","Bay Area",0.147499993443489,3.96000003814697,323496.98,"Heavy or commuter rail"
"Northpark Apartments","Bay Area",0.173800006508827,3.26999998092651,667661.04,"Heavy or commuter rail"
"Ohlone-Chynoweith","Bay Area",0,4,357694.13,"Light rail"
"Pacific Court","LA",0,10.3299999237061,118401.77,"Light rail"
"Palo Alto Condos","Bay Area",0.0666999965906143,4.78000020980835,779791.98,"Heavy or commuter rail"
"Park Regency","Bay Area",0.317799985408783,4.71000003814697,271728.59,"Heavy or commuter rail"
"Poinsettia Station","SD",0.153799995779991,1.72000002861023,273004.39,"Heavy or commuter rail"
"Studio Village","LA",0.1875,8.69999980926514,246330.4,"Heavy or commuter rail"
"The Crossings","Bay Area",0.131600007414818,6.48999977111816,558643.3,"Heavy or commuter rail"
"Union Square Condos","SD",0.1891999989748,3.86999988555908,192739.76,"Light rail"
"Verandas Apartments","Bay Area",0.491200000047684,3.15000009536743,327738.97,"Heavy or commuter rail"
"Villages of LaMesa","SD",0.111100003123283,3.16000008583069,207159.11,"Light rail"
"Wayside Plaza","Bay Area",0.473699986934662,4.67000007629395,270087.94,"Heavy or commuter rail"
"Western Carlton","LA",0.209999993443489,14.8500003814697,371469.76,"Heavy or commuter rail"
"Wilcox Apartments","LA",0.333299994468689,14.7600002288818,288948.71,"Heavy or commuter rail"
"Wilshire Promenade","LA",0.10530000180006,3.83999991416931,216780.07,"Heavy or commuter rail"
"Windsor Ridge","Sacramento",0.222200006246567,2.35999989509583,152840.33,"Light rail"
"Woodlake Close","Sacramento",0.157900005578995,2.46000003814697,89045.74,"Light rail"
