"asc_2gr","asc_3ec","asc_4er","asc_5hp","b_ic","b_oc","logLike"
0,0,0,0,0,0,-1448.49412119069
-0.0000052224,-0.0000118784,-0.00000983040000000001,-0.000013312,-0.0074018906112,-0.00700047988736,-1125.47532022201
-0.0000144011522567856,-0.0000129589120730116,-0.0000064574348190259,-0.0000166663974895723,-0.00785015856188917,-0.0065802484420773,-1122.93642851941
-0.583294891100015,-0.176406581006681,0.244982924153393,-0.211751155072853,-0.00679866162536036,-0.00774982637265146,-1082.07113799793
-0.674498921707107,-0.385853727617661,1.07929600592513,-2.14994816574732,-0.00448146680515839,-0.00839509863057566,-1072.84260496518
-0.976353993426854,0.0994878142798213,0.728688480395223,-2.72131306901395,-0.00255117309503379,-0.00955846656989576,-1062.03874880131
-1.5181375299248,1.3033915825975,1.31198375704263,-1.64389511335041,-0.00192128052168877,-0.0116866204458676,-1014.47868440104
-1.50135328750899,0.669543621796431,0.762821541679782,-1.66605233937632,-0.0018514498610812,-0.00953280081850745,-1010.60821177697
-1.44016956632252,-0.0505635193161179,0.134116571682817,-1.71414887575786,-0.00145060615865583,-0.00696854595177009,-1008.30629848858
-1.40510981049981,-0.0786183848633348,0.121501613182926,-1.7240587182823,-0.00153727189228885,-0.00691713507219923,-1008.23345766461
-1.4014465380693,-0.0476444983161787,0.147289325050813,-1.70374259381718,-0.00154414779799166,-0.00701390892563762,-1008.22941299789
-1.40302738706086,-0.0515642201393344,0.142419037132019,-1.71170415645226,-0.00153039689338915,-0.00699786311643177,-1008.22873488057
-1.40272142934169,-0.0522711905893012,0.14239466051993,-1.71100180804493,-0.00153319608911006,-0.00699607940017561,-1008.22872211372
